Source,RawKeyType,RawKeyValue,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes
unfi_east,vendor_item,316311,17-200-1,UNFI,K&L Shipper - RTH Hearts of Palm Pasta & Rice 45/8oz,100,TRUE,
unfi_east,vendor_item,301108,17-201,UNFI,K&L Hearts Of Palm Linguine Pasta 6/8oz,100,TRUE,
unfi_east,vendor_item,301110,17-203,UNFI,K&L Hearts Of Palm Veggie Stir-Fry 6/8oz,100,TRUE,
unfi_east,vendor_item,301113,17-204,UNFI,K&L RTE Riced Broccoli 6/8oz,100,TRUE,
unfi_east,vendor_item,284950,17-300,UNFI,K&L Marin. Qrtd Artichoke 6/11oz,100,TRUE,
unfi_east,vendor_item,284951,17-301,UNFI,K&L Whole Grilled Artichoke 6/11oz,100,TRUE,
unfi_east,vendor_item,214028,3-005,UNFI,C&A Grape Seed Oil 6/25.3oz,100,TRUE,
unfi_east,vendor_item,131470,3-047,UNFI,C&A Balsamic Vinegar Igp 6/16.9oz,100,TRUE,
unfi_east,vendor_item,211968,7-210-22,UNFI,C&A Organic Farfalle #22 12/16oz,100,TRUE,
unfi_east,vendor_item,211972,7-210-50,UNFI,C&A Organic Casarecce #50 12/16oz,100,TRUE,
unfi_east,vendor_item,211974,7-210-66,UNFI,C&A Organic Fusilli #66 12/16oz,100,TRUE,
unfi_east,vendor_item,211975,7-210-71,UNFI,C&A Organic Penne Rigate #71 12/16oz,100,TRUE,
unfi_east,vendor_item,178222,8-100-4,UNFI,C&A Farro 8/17.6oz,100,TRUE,
unfi_east,vendor_item,178224,8-100-6,UNFI,C&A Arborio Rice 8/17.6oz,100,TRUE,
unfi_east,vendor_item,156227,8-200-1,UNFI,K&L Quinoa RTE Meal- Artichoke & Roasted Peppers 6/7.9oz,100,TRUE,
unfi_east,vendor_item,156228,8-200-2,UNFI,K&L Quinoa RTE Meal- Spicy Jalapeno & Roasted Peppers 6/7.9oz,100,TRUE,
unfi_east,vendor_item,156229,8-200-3,UNFI,K&L Quinoa RTE Meal-Mango & Roasted Peppers 6/7.9oz,100,TRUE,
unfi_east,vendor_item,156230,8-200-4,UNFI,K&L Quinoa RTE Meal- Basil Pesto 6/7.9oz,100,TRUE,
unfi_east,vendor_item,241211,8-220,UNFI,K&L Quinoa RTE Meal Shipper 48/7.9oz,100,TRUE,
unfi_east,vendor_item,210791,8-400-1,UNFI,K&L Farro RTE Meal- Grilled Vegetables 6/7.9oz,100,TRUE,
