Source,RawKeyValue,RawKeyType,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes
kehe,2509054.0,vendor_item,12-300-3,KEHE,K&L Sweet Nests - Cashew & Date 8/3.5oz,100,True,Migrated from CSV
kehe,2509070.0,vendor_item,12-300-1,KEHE,K&L Sweet Nests - Pistachio & Date 8/3.5oz,100,True,Migrated from CSV
kehe,2302575.0,vendor_item,17-202,KEHE,K&L Hearts Of Palm Pasta Primavera 6/8oz,100,True,Migrated from CSV
kehe,2302579.0,vendor_item,17-203,KEHE,K&L Hearts Of Palm Veggie Stir-Fry 6/8oz,100,True,Migrated from CSV
kehe,2411605.0,vendor_item,17-204,KEHE,K&L RTE Riced Broccoli 6/8oz,100,True,Migrated from CSV
kehe,2302580.0,vendor_item,17-201,KEHE,K&L Hearts Of Palm Linguine Pasta 6/8oz,100,True,Migrated from CSV
kehe,2207885.0,vendor_item,8-500,KEHE,K&L Org Pulled Jackfruit- Lightly Seasoned 6/8oz,100,True,Migrated from CSV
kehe,2207887.0,vendor_item,8-501,KEHE,K&L Org Pulled Jackfruit- Sweet BBQ 6/8oz,100,True,Migrated from CSV
kehe,2207888.0,vendor_item,8-502,KEHE,K&L Org Jackfruit Chunky Chili 6/8oz,100,True,Migrated from CSV
kehe,2207890.0,vendor_item,8-503,KEHE,K&L Org Jackfruit Hearty Stew 6/8oz,100,True,Migrated from CSV
kehe,2422115.0,vendor_item,12-600-3,KEHE,K&L Shipper - Assorted (3 Variety) Choc covered Almond stuffed Dates 54/3.5oz,100,True,Migrated from CSV
kehe,2422119.0,vendor_item,12-600-1,KEHE,K&L Shipper - Dark Choc Almond Stuffed Dates 54/3.5oz,100,True,Migrated from CSV
kehe,2422137.0,vendor_item,8-920-1,KEHE,K&L Shipper - Organic Riced Cauliflower 54/8oz,100,True,Migrated from CSV
kehe,2422128.0,vendor_item,8-920-2,KEHE,K&L Shipper - Riced Cauliflower & Broccoli 54/8oz,100,True,Migrated from CSV
kehe,2422131.0,vendor_item,8-500-1,KEHE,K&L Shipper- RTH Org Jackfruit Assorted 54/8oz,100,True,Migrated from CSV
kehe,2422133.0,vendor_item,17-200-1,KEHE,K&L Shipper - RTH Hearts of Palm Pasta & Rice 45/8oz,100,True,Migrated from CSV
kehe,2422500.0,vendor_item,8-900-1,KEHE,K&L Shipper - RTH Grain Pouches (3 Variety) 54/8oz,100,True,Migrated from CSV
kehe,2422504.0,vendor_item,8-900-2,KEHE,K&L Shipper - RTH Grain Pouches (6 Variety) 54/8oz,100,True,Migrated from CSV
kehe,2509071.0,vendor_item,12-310-1,KEHE,K&L Shipper - Sweet Nests (3 Variety) 36/3.5oz,100,True,Migrated from CSV
