Source,RawKeyType,RawKeyValue,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes
kehe,vendor_item,129174.0,8-200-2,KEHE,K&L Quinoa RTE Meal- Spicy Jalapeno & Roasted Peppers 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,129170.0,8-200-3,KEHE,K&L Quinoa RTE Meal-Mango & Roasted Peppers 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,129176.0,8-200-4,KEHE,K&L Quinoa RTE Meal- Basil Pesto 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,308376.0,8-400-1,KEHE,K&L Farro RTE Meal- Grilled Vegetables 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,308378.0,8-400-3,KEHE,"K&L Farro RTE Meal- Artichoke, Lemon & Garlic 6/7.9oz",100,True,Migrated from CSV
kehe,vendor_item,353455.0,13-001-1,KEHE,K&L Strawberry Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,353454.0,13-001-3,KEHE,K&L Apricot Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,353451.0,13-001-9,KEHE,K&L Fig Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,353453.0,13-001-4,KEHE,K&L Sour Cherry Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,353452.0,13-001-10,KEHE,K&L Lingonberry Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,373816.0,13-003-1,KEHE,K&L Strawberry & Honey Sweetened Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,373818.0,13-003-3,KEHE,K&L Apricot & Honey Sweetened Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,373822.0,13-003-4,KEHE,K&L Fig & Honey Sweetened Preserves 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,373823.0,13-003-5,KEHE,K&L Sour Cherry & Honey Sweetened Preserve 6/12.3oz,100,True,Migrated from CSV
kehe,vendor_item,334671.0,8-440,KEHE,K&L Farro RTE Meal Shipper 48/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,334681.0,8-220,KEHE,K&L Quinoa RTE Meal Shipper 48/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,380892.0,8-291,KEHE,K&L RTE Bi-Color (Red & White) Quinoa 2Pk 6/10.6oz,100,True,Migrated from CSV
kehe,vendor_item,380746.0,8-700-1,KEHE,K&L Tuna Meal Mastercase- 4 Bean Medley 6/8/6oz,100,True,Migrated from CSV
kehe,vendor_item,380747.0,8-700-2,KEHE,K&L Tuna Meal Mastercase- Quinoa & Chickpea 6/8/6oz,100,True,Migrated from CSV
kehe,vendor_item,398971.0,12-006-1,KEHE,K&L Dark Choc Almond Stuffed Dates 8/3.5oz,100,True,Migrated from CSV
